section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415985026234,0.731707,-0.731707,-0.182927,-0.117371,-0.978699,-0.039062,13.845845756430919,-2.279767824488374
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415990105234,0.243902,-0.853659,0.0,-0.119629,-0.983276,-0.041687,14.012097124106617,-2.5680770062549527
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415995184234,-0.304878,-0.792683,-0.182927,-0.120178,-0.98999,-0.041016,13.865016465626127,-2.2726066468963495
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416000263234,-0.609756,-0.609756,-0.548781,-0.113525,-0.993469,-0.043274,13.533354447116125,-2.482314805866622
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416005342234,-0.731707,-0.609756,-0.731707,-0.116028,-0.994507,-0.04187,13.861361635764752,-2.279986932195982
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416010421234,-0.853659,-0.487805,-0.670732,-0.113403,-0.990356,-0.037109,13.474347985080016,-2.129805248512014
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416015500234,-1.341463,-0.365854,-0.426829,-0.109009,-0.986206,-0.033936,13.204645820696555,-1.8869730411421415
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416020579234,-1.707317,-0.487805,-0.243902,-0.112183,-0.994385,-0.029175,13.476147238185291,-1.649875407704826
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416025658234,-1.52439,-0.853659,-0.670732,-0.110657,-0.996521,-0.027893,13.072580157565795,-1.5262066552839144
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416030737234,-1.52439,-1.280488,-1.402439,-0.109802,-0.994141,-0.025513,13.481215493573302,-1.4308926137664741
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416035816234,-1.52439,-1.52439,-1.890244,-0.102783,-0.98999,-0.027527,13.064890372652002,-1.5561853469365303
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416040895234,-1.52439,-1.768293,-2.134146,-0.104126,-0.983948,-0.026245,12.811489105029978,-1.3010629926661466
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416045974234,-1.402439,-2.012195,-1.95122,-0.112793,-0.981201,-0.025085,13.222551527087347,-1.3994518755181389
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416051053234,-1.280488,-2.195122,-1.707317,-0.114319,-0.977112,-0.021606,13.620070235846612,-1.2846999675391544
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416056132234,-1.097561,-2.5,-1.097561,-0.112061,-0.973877,-0.020386,13.424168672813636,-1.0057263592076993
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416061211234,-0.731707,-2.804878,-0.609756,-0.117065,-0.973083,-0.025208,13.660229094836296,-1.2711327280681246
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416066290234,-0.426829,-3.04878,0.0,-0.118042,-0.964478,-0.023071,14.063153345864379,-1.3980112194929006
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416071369234,-0.243902,-3.170732,0.97561,-0.116821,-0.967529,-0.031677,13.953277615316097,-1.6994449255682866
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416076448234,-0.0,-3.04878,1.890244,-0.115601,-0.977234,-0.04248,13.880389177252113,-2.005512460251964
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416081527234,-0.0,-2.804878,2.621951,-0.114807,-0.993713,-0.047241,13.769599823876405,-2.3043821437483984
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416086606234,0.060976,-2.621951,2.987805,-0.110779,-0.990051,-0.054321,13.64523927114331,-2.5997475066698144
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416091685234,-0.182927,-2.073171,2.804878,-0.112244,-0.990967,-0.057617,13.578090540668512,-2.907345845061343
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416096764234,-0.670732,-1.52439,2.987805,-0.109436,-0.991516,-0.064697,13.486034016384167,-3.21380705552923
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416101843234,-0.914634,-0.853659,3.109756,-0.106812,-0.993469,-0.068359,13.353718418889486,-3.5128366779883606
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416106922234,-1.280488,-0.121951,2.743902,-0.105286,-1.006836,-0.065491,13.014885263261505,-3.705151725925873
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416112001234,-1.95122,0.304878,2.560976,-0.105469,-1.009888,-0.062622,12.904544633797627,-3.4138380280082288
