,index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,timestamp [ns]_for_grouping,ref_center_x,ref_center_y,ref_coordinates,tag
103,1221,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6111.636,669.78,530.961,1.0,14.0,,1634117194962349265,690,546,"(690, 546)",m l hand
104,1229,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6151.672,673.399,530.024,1.0,14.0,,1634117195002385265,695,545,"(695, 545)",m l hand
105,1235,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6183.668,674.427,525.477,1.0,14.0,,1634117195034381265,698,541,"(698, 541)",m l hand
106,1241,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6211.626,670.812,523.715,1.0,14.0,,1634117195062339265,696,541,"(696, 541)",m l hand
107,1248,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6247.696,666.657,522.951,1.0,14.0,,1634117195098409265,694,541,"(694, 541)",m l hand
108,1255,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6283.644,662.951,520.333,1.0,14.0,,1634117195134357265,691,539,"(691, 539)",m l hand
109,1262,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6315.63,662.922,521.459,1.0,14.0,,1634117195166343265,691,542,"(691, 542)",m l hand
110,1268,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6347.637,661.333,523.019,1.0,14.0,,1634117195198350265,691,545,"(691, 545)",m l hand
111,1275,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6383.889,659.819,523.263,1.0,14.0,,1634117195234602265,691,546,"(691, 546)",m l hand
112,1282,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6415.619,679.756,532.577,1.0,,,1634117195266332265,712,557,"(712, 557)",m l hand
113,1289,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6451.768,763.329,663.282,1.0,,,1634117195302481265,795,689,"(795, 689)",r base
114,1294,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6479.656,766.462,672.411,1.0,15.0,,1634117195330369265,795,700,"(795, 700)",r base
115,1301,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6511.662,764.699,679.203,1.0,15.0,,1634117195362375265,800,707,"(800, 707)",r base
116,1308,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6547.657,760.802,692.256,1.0,15.0,,1634117195398370265,794,722,"(794, 722)",r base
117,1315,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6583.773,757.722,686.335,1.0,15.0,,1634117195434486265,789,718,"(789, 718)",r base
118,1321,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6611.643,756.203,691.693,1.0,15.0,,1634117195462356265,794,724,"(794, 724)",r base
119,1328,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6647.667,758.609,702.057,1.0,15.0,,1634117195498380265,790,737,"(790, 737)",r base
120,1334,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6679.63,792.146,702.297,1.0,,,1634117195530343265,825,738,"(825, 738)",r base
121,1341,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6711.644,850.232,741.918,1.0,16.0,,1634117195562357265,881,780,"(881, 780)",noise
122,1349,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6751.604,845.39,749.51,1.0,16.0,,1634117195602317265,877,789,"(877, 789)",noise
123,1355,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6783.749,838.675,751.793,1.0,16.0,,1634117195634462265,872,791,"(872, 791)",noise
124,1361,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6811.654,840.865,745.301,1.0,16.0,,1634117195662367265,874,784,"(874, 784)",noise
125,1370,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6859.639,849.203,745.526,1.0,16.0,,1634117195710352265,882,785,"(882, 785)",noise
126,1374,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6879.621,866.26,783.313,1.0,,,1634117195730334265,898,823,"(898, 823)",noise
127,1381,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6911.631,874.943,889.156,1.0,,,1634117195762344265,902,928,"(902, 928)",noise
128,1389,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6951.698,885.914,898.003,1.0,17.0,,1634117195802411265,912,937,"(912, 937)",noise
129,1397,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6991.629,881.431,891.643,1.0,17.0,,1634117195842342265,906,931,"(906, 931)",noise
130,1403,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7023.62,872.922,882.676,1.0,17.0,,1634117195874333265,899,921,"(899, 921)",noise
131,1410,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7059.654,865.452,892.166,1.0,17.0,,1634117195910367265,885,932,"(885, 932)",noise
132,1417,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7091.639,858.99,900.262,1.0,17.0,,1634117195942352265,890,936,"(890, 936)",noise
133,1422,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7119.667,837.796,902.991,1.0,17.0,,1634117195970380265,865,941,"(865, 941)",noise
134,1430,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7159.727,829.039,910.536,1.0,17.0,,1634117196010440265,857,949,"(857, 949)",noise
135,1436,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7187.594,830.93,914.146,1.0,17.0,,1634117196038307265,861,952,"(861, 952)",noise
136,1442,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7219.634,833.273,903.732,1.0,17.0,,1634117196070347265,858,944,"(858, 944)",noise
137,1451,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7263.692,833.348,902.872,1.0,17.0,,1634117196114405265,858,943,"(858, 943)",noise
138,1456,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7287.651,831.079,900.441,1.0,17.0,,1634117196138364265,856,940,"(856, 940)",noise
139,1461,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7315.623,832.901,899.602,1.0,17.0,,1634117196166336265,859,940,"(859, 940)",noise
140,1468,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7347.658,848.943,784.222,1.0,,,1634117196198371265,879,826,"(879, 826)",noise
141,1475,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7383.699,841.187,738.032,1.0,18.0,,1634117196234412265,872,781,"(872, 781)",noise
142,1482,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7419.647,843.229,720.633,1.0,18.0,,1634117196270360265,876,765,"(876, 765)",noise
143,1488,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7447.603,833.373,724.151,1.0,18.0,,1634117196298316265,866,769,"(866, 769)",noise
144,1494,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7479.663,829.088,722.41,1.0,18.0,,1634117196330376265,864,768,"(864, 768)",noise
145,1501,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7515.659,821.145,721.428,1.0,18.0,,1634117196366372265,856,768,"(856, 768)",r base
146,1509,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7555.665,825.869,720.226,1.0,18.0,,1634117196406378265,862,767,"(862, 767)",r base
147,1517,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7595.596,843.122,725.233,1.0,18.0,,1634117196446309265,878,772,"(878, 772)",noise
148,1523,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7623.678,844.813,726.342,1.0,18.0,,1634117196474391265,880,773,"(880, 773)",noise
149,1530,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7659.68,841.697,725.24,1.0,18.0,,1634117196510393265,877,772,"(877, 772)",noise
150,1536,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7687.642,841.802,712.052,1.0,18.0,,1634117196538355265,878,759,"(878, 759)",noise
151,1543,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7723.689,837.549,702.652,1.0,18.0,,1634117196574402265,875,750,"(875, 750)",noise
152,1550,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7759.667,860.137,730.483,1.0,,,1634117196610380265,894,778,"(894, 778)",noise
153,1557,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7795.655,872.948,761.038,1.0,19.0,,1634117196646368265,908,809,"(908, 809)",noise
154,1562,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7819.646,868.211,757.977,1.0,19.0,,1634117196670359265,904,806,"(904, 806)",noise
155,1569,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7855.655,861.175,755.167,1.0,19.0,,1634117196706368265,897,803,"(897, 803)",noise
156,1574,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7879.661,861.825,753.009,1.0,19.0,,1634117196730374265,898,801,"(898, 801)",noise
157,1581,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7915.703,867.487,755.325,1.0,19.0,,1634117196766416265,904,804,"(904, 804)",noise
158,1588,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7947.67,865.824,755.002,1.0,19.0,,1634117196798383265,904,804,"(904, 804)",noise
159,1597,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,7995.623,865.095,753.139,1.0,19.0,,1634117196846336265,905,803,"(905, 803)",noise
160,1600,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8011.58,863.833,748.18,1.0,19.0,,1634117196862293265,903,797,"(903, 797)",noise
161,1608,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8051.617,862.414,744.864,1.0,19.0,,1634117196902330265,902,795,"(902, 795)",noise
162,1615,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8083.685,859.031,739.525,1.0,19.0,,1634117196934398265,898,789,"(898, 789)",noise
163,1623,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8123.801,804.532,720.43,1.0,,,1634117196974514265,850,769,"(850, 769)",r base
164,1629,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8155.647,736.305,656.758,1.0,,,1634117197006360265,785,705,"(785, 705)",r base
165,1636,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8191.634,737.988,642.189,1.0,20.0,,1634117197042347265,787,690,"(787, 690)",r base
166,1643,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8223.96,732.36,643.825,1.0,20.0,,1634117197074673265,781,692,"(781, 692)",r base
