index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg],heatmap_ts,ref_center_x,ref_center_y
995,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502210494253,350.622,567.407,1.0,15.0,,-14.178587458125742,-0.0991804975550162,4988.156,1509,1680
1003,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502251199253,338.558,570.269,1.0,15.0,,-15.089192668019011,-0.3118569869272031,5028.861,1979,1262
1009,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502278372253,346.466,477.068,1.0,,,-14.562350504793024,6.645759224189251,5056.034,2055,954
1015,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502310368253,366.113,428.42,1.0,16.0,,-13.158339814245313,10.30008087509739,5088.03,2124,858
1023,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502350384253,363.515,426.912,1.0,16.0,,-13.359996031536566,10.410391472665916,5128.046,2096,897
1029,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502378394253,361.308,421.488,1.0,16.0,,-13.540938256770229,10.81399871250764,5156.056,2199,904
1036,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502414347253,372.71,393.003,1.0,,,-12.738547955055116,12.96029119479226,5192.009,2125,830
1043,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502450359253,383.295,401.497,1.0,17.0,,-11.904590214413854,12.335482882342411,5228.021,2173,782
1050,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502486401253,371.298,414.508,1.0,17.0,,-12.793245227748873,11.347271278213084,5264.063,1217,189
1056,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502514378253,355.526,410.836,1.0,17.0,,-14.009670953380985,11.60445501292586,5292.04,2275,927
1064,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502554561253,346.396,413.418,1.0,17.0,,-14.701898809444067,11.400486794859267,5332.223,2037,904
1069,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502582474253,344.786,420.896,1.0,17.0,,-14.805327182766622,10.839838471124542,5360.136,2089,814
1076,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502614492253,337.484,412.243,1.0,17.0,,-15.387445966166071,11.477141666051867,5392.154,2044,841
1082,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502646405253,340.245,401.75,1.0,17.0,,-15.206482263801924,12.264251850032922,5424.067,2253,549
1089,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502682489253,334.459,405.445,1.0,17.0,,-15.63916832890392,11.98058292464085,5460.151,2032,820
1096,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502714512253,317.165,418.87,1.0,17.0,,-16.923311511867738,10.956439934647069,5492.174,1988,847
1103,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502750360253,325.688,443.155,1.0,17.0,,-16.207681325663074,9.157662395235183,5528.022,1832,872
1109,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502782368253,327.453,430.703,1.0,17.0,,-16.104045877286538,10.087687892838604,5560.03,1992,866
