section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138459398772,-0.060976,-6.341464,-1.219512,-0.096741,-0.92926,-0.313721,12.512371815728585,-18.542059591854866,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138464450772,-0.060976,-6.463415,-1.158537,-0.096069,-0.927612,-0.314148,12.678040390612097,-18.837875252829576,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138469502772,-0.121951,-6.585366,-1.097561,-0.09668,-0.92688,-0.317139,12.461183975066888,-19.105864751972177,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138474554772,0.060976,-6.890244,-1.219512,-0.094482,-0.929749,-0.317932,12.510218086499947,-18.78457022804446,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138479606772,0.060976,-7.073171,-1.280488,-0.09436,-0.92981,-0.316528,12.197105717365247,-18.993824718110517,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138484658772,0.121951,-7.256098,-1.280488,-0.094788,-0.928162,-0.317078,12.580735461695213,-18.834422222057356,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138489710772,0.243902,-7.439024,-1.036585,-0.099976,-0.929077,-0.316956,13.025318138595026,-18.834444563420703,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138494762772,0.121951,-7.865854,-1.036585,-0.09845,-0.929932,-0.314087,12.686148388572747,-18.62940303897153,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138499814772,0.182927,-8.109756,-1.036585,-0.096619,-0.926025,-0.317261,12.6395561723877,-18.939910953229315,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138504866772,0.243902,-8.47561,-1.036585,-0.099426,-0.92804,-0.315796,12.908933734436005,-18.681502290600207,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138509918772,0.365854,-8.719512,-0.914634,-0.100769,-0.923767,-0.316223,12.894304295139136,-18.9931749867323,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138514970772,0.304878,-8.902439,-1.036585,-0.09906,-0.924744,-0.316101,12.665293232112674,-18.714881802774073,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138520022772,0.182927,-9.268292,-0.97561,-0.099487,-0.924988,-0.315125,13.002738324305597,-18.92613023841028,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138525074772,0.182927,-9.512196,-0.97561,-0.100586,-0.923096,-0.316101,12.588840688448784,-18.83662007739116,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138530126772,0.243902,-9.695122,-0.792683,-0.097473,-0.92627,-0.32135,12.694706331488135,-19.143826329195377,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138535178772,0.182927,-9.939025,-0.792683,-0.097351,-0.920837,-0.318359,12.75647994405307,-18.820480672328586,,,,,
