index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,ref_x_pixel,ref_y_pixel
9969,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50261.397,678.685,412.441,1.0,,,693,642
9975,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50293.363,668.153,418.838,1.0,,,682,631
9978,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50313.376,633.341,405.309,1.0,,,103,702
9986,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50353.367,578.056,407.524,1.0,166.0,,593,539
9993,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50385.413,577.353,403.787,1.0,166.0,,591,538
10001,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50425.371,589.29,399.835,1.0,166.0,,603,550
10009,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50465.456,580.412,400.554,1.0,166.0,,594,541
10013,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50485.37,587.336,400.929,1.0,166.0,,601,548
10022,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50533.384,578.498,404.409,1.0,166.0,,592,539
10028,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50561.35,577.446,400.98,1.0,166.0,,591,538
10037,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50605.391,576.924,396.723,1.0,166.0,,590,538
10040,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50621.354,575.028,395.396,1.0,166.0,,588,537
10046,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50653.385,560.949,386.47,1.0,166.0,,574,523
10055,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50697.369,569.095,406.019,1.0,166.0,,582,531
10063,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50737.413,586.247,410.439,1.0,,,600,548
10068,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50761.366,611.938,420.512,1.0,,,624,576
10074,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50793.424,590.751,405.256,1.0,167.0,,604,554
10077,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50813.484,573.755,400.419,1.0,167.0,,587,537
